chest,sholders,length,size,across sholder,sleeve length,colour,Category,Label
19,16,27,38,17.5,24,0,S,1
19,16,27,38,17.5,24,1,S,2
19,16,27,38,17.5,24,2,S,3
28,23,28,40,19,24.5,0,M,1
28,23,28,40,19,24.5,1,M,2
28,23,28,40,19,24.5,2,M,3
29,24,29.5,42,20,25,0,L,1
29,24,29.5,42,20,25,1,L,2
29,24,29.5,42,20,25,2,L,3
29,25,29.5,44,20.5,26,0,XL,1
29,25,29.5,44,20.5,26,1,XL,2
29,25,29.5,44,20.5,26,2,XL,3
30,26,21,46,21,26,0,XXL,1
30,26,21,46,21,26,1,XXL,2
30,26,21,46,21,26,2,XXL,3
19,16,27,38,17.5,24,0,S,1
19,16,27,38,17.5,24,1,S,2
19,16,27,38,17.5,24,2,S,3
28,23,28,40,19,24.5,0,M,1
28,23,28,40,19,24.5,1,M,2
28,23,28,40,19,24.5,2,M,3
29,24,29.5,42,20,25,0,L,1
29,24,29.5,42,20,25,1,L,2
29,24,29.5,42,20,25,2,L,3
29,25,29.5,44,20.5,26,0,XL,1
29,25,29.5,44,20.5,26,1,XL,2
29,25,29.5,44,20.5,26,2,XL,3
30,26,21,46,21,26,0,XXL,1
30,26,21,46,21,26,1,XXL,2
30,26,21,46,21,26,2,XXL,3
19,16,27,38,17.5,24,0,S,1
19,16,27,38,17.5,24,1,S,2
19,16,27,38,17.5,24,2,S,3
28,23,28,40,19,24.5,0,M,1
28,23,28,40,19,24.5,1,M,2
28,23,28,40,19,24.5,2,M,3
29,24,29.5,42,20,25,0,L,1
29,24,29.5,42,20,25,1,L,2
29,24,29.5,42,20,25,2,L,3
29,25,29.5,44,20.5,26,0,XL,1
29,25,29.5,44,20.5,26,1,XL,2
29,25,29.5,44,20.5,26,2,XL,3
30,26,21,46,21,26,0,XXL,1
30,26,21,46,21,26,1,XXL,2
30,26,21,46,21,26,2,XXL,3
19,16,27,38,17.5,24,0,S,1
19,16,27,38,17.5,24,1,S,2
19,16,27,38,17.5,24,2,S,3
28,23,28,40,19,24.5,0,M,1
28,23,28,40,19,24.5,1,M,2
28,23,28,40,19,24.5,2,M,3
29,24,29.5,42,20,25,0,L,1
29,24,29.5,42,20,25,1,L,2
29,24,29.5,42,20,25,2,L,3
29,25,29.5,44,20.5,26,0,XL,1
29,25,29.5,44,20.5,26,1,XL,2
29,25,29.5,44,20.5,26,2,XL,3
30,26,21,46,21,26,0,XXL,1
30,26,21,46,21,26,1,XXL,2
30,26,21,46,21,26,2,XXL,3
19,16,27,38,17.5,24,0,S,1
19,16,27,38,17.5,24,1,S,2
19,16,27,38,17.5,24,2,S,3
28,23,28,40,19,24.5,0,M,1
28,23,28,40,19,24.5,1,M,2
28,23,28,40,19,24.5,2,M,3
29,24,29.5,42,20,25,0,L,1
29,24,29.5,42,20,25,1,L,2
29,24,29.5,42,20,25,2,L,3
29,25,29.5,44,20.5,26,0,XL,1
29,25,29.5,44,20.5,26,1,XL,2
29,25,29.5,44,20.5,26,2,XL,3
30,26,21,46,21,26,0,XXL,1
30,26,21,46,21,26,1,XXL,2
30,26,21,46,21,26,2,XXL,3
19,16,27,38,17.5,24,0,S,1
19,16,27,38,17.5,24,1,S,2
19,16,27,38,17.5,24,2,S,3
28,23,28,40,19,24.5,0,M,1
28,23,28,40,19,24.5,1,M,2
28,23,28,40,19,24.5,2,M,3
29,24,29.5,42,20,25,0,L,1
29,24,29.5,42,20,25,1,L,2
29,24,29.5,42,20,25,2,L,3
29,25,29.5,44,20.5,26,0,XL,1
29,25,29.5,44,20.5,26,1,XL,2
29,25,29.5,44,20.5,26,2,XL,3
30,26,31,46,21,26,0,XXL,1
30,26,31,46,21,26,1,XXL,2
30,26,31,46,21,26,2,XXL,3
20,16,27,38,17.5,24,0,S,1
21,16,27,38,17.5,24,1,S,2
